1,Keflavik International Airport,Keflavik,Iceland,KEF,2013,4988,8873,112782800,113940400,63.985,-22.6056,12841.2,35,3.25544e+06,7,0
2,Kona International At Keahole Airport,Kona,United States,KOA,9644,30157,49722,176719200,176391100,19.7388,-156.046,3547.55,42,4.19979e+06,0,1
3,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,92090,650974,1829565,5068557400,5074171800,33.6367,-84.4281,2773.43,335,1.51468e+07,0,17
4,Ralph Wien Memorial Airport,Kotzebue,United States,OTZ,3277,3277,3277,7985000,7988900,66.8847,-162.599,2437.87,44,181565,0,3049
5,Kahului Airport,Kahului,United States,OGG,57088,107297,143295,343778100,344386800,20.8986,-156.43,2403.34,44,7.82697e+06,0,2
6,Lihue Airport,Lihue,United States,LIH,15450,40347,63764,152398700,152677400,21.976,-159.339,2394.41,19,8.03565e+06,0,1
7,Ketchikan International Airport,Ketchikan,United States,KTN,8197,8197,9602,22638600,22585500,55.3556,-131.714,2352.17,17,1.32856e+06,0,658
8,Nome Airport,Nome,United States,OME,3806,3806,3806,7576500,7583300,64.5122,-165.445,1992.46,62,122311,0,3606
9,Wrangell Airport,Wrangell,United States,WRG,2382,2382,2382,4616800,4605600,56.4843,-132.37,1933.5,10,460560,0,245
10,Bethel Airport,Bethel,United States,BET,6450,6450,7837,15014500,15045400,60.7798,-161.838,1919.79,78,192889,0,7685
11,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,20000,20000,32678,61990300,59799500,18.3373,-64.9734,1829.96,38,1.57367e+06,0,781
12,Petersburg James A Johnson Airport,Petersburg,United States,PSG,2948,2948,2948,5009700,4953000,56.8017,-132.945,1680.12,13,381000,0,310
13,Orlando International Airport,Orlando,United States,MCO,84135,631239,1428168,2170603200,2193401000,28.4294,-81.309,1535.81,229,9.57817e+06,0,13
14,Sitka Rocky Gutierrez Airport,Sitka,United States,SIT,8863,8863,8863,13024600,13030800,57.0471,-135.362,1470.25,21,620514,0,1029
15,Wiley Post Will Rogers Memorial Airport,Barrow,United States,BRW,4384,4384,4384,6373500,6358700,71.2854,-156.766,1450.43,18,353261,0,1032
16,Dillingham Airport,Dillingham,United States,DLG,2404,2404,2404,3393100,3439800,59.0447,-158.505,1430.87,43,79995,0,1328
17,Marsh Harbour International Airport,Marsh Harbor,Bahamas,MHH,5314,5314,5314,6901000,7062500,26.5114,-77.0835,1329.04,15,470833,0,297
18,McCarran International Airport,Las Vegas,United States,LAS,251145,1910199,1953022,2353632600,2353919600,36.0801,-115.152,1205.27,235,1.00167e+07,0,26
19,Honolulu International Airport,Honolulu,United States,HNL,447396,744597,969611,1009617600,1012042700,21.3187,-157.922,1043.76,106,9.54757e+06,2,0
20,Key West International Airport,Key West,United States,EYW,29674,32132,38147,39287400,37722300,24.5561,-81.7596,988.867,26,1.45086e+06,0,396
21,Gallatin Field,Bozeman,United States,BZN,8029,56220,60633,59953800,59871000,45.7775,-111.153,987.433,64,935484,0,548
22,Sangster International Airport,Montego Bay,Jamaica,MBJ,82867,91548,157585,139664000,138896800,18.5037,-77.9134,881.409,45,3.0866e+06,0,57
23,Wendover Airport,Wendover,United States,ENV,5694,5694,5694,4933300,4972400,40.7187,-114.031,873.27,80,62155,0,712
24,Antonio B. Won Pat International Airport,Agana,Guam,GUM,139542,178118,184225,161319400,160005900,13.4834,144.796,868.535,34,4.70606e+06,0,11
25,Owen Roberts International Airport,Georgetown,Cayman Islands,GCM,29370,52164,53803,44932000,45338500,19.2928,-81.3577,842.676,31,1.46253e+06,0,646
